bgc_id,name,C,H,O,base_status,generability_class,forward_verdict,formula_feasible,in_range,bucket_size_approx,recovered_program
BGC0002758,Azanidulone,11,10,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,0,
BGC0002759,brevione E,28,34,7,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002845,Sartorypyrone A,28,40,5,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002847,olivetolic acid,12,16,4,reachable,,recovered,True,True,293,"Program(starter='hexanoyl', cycles=(Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>)), release=<Release.ALDOL_AROMATIC: 'aldol_aromatic'>)"
BGC0002848,CJ-20557,19,20,7,unreachable,coverage-limited-structural,sound-structural-gap,True,True,132,
BGC0002849,Luteodienoside A,23,38,13,too_large,coverage-limited-formula,formula-infeasible,False,False,0,
BGC0002852,"3,6-dialkyl-α-pyrone",10,12,3,unreachable,coverage-limited-structural,sound-structural-gap,True,True,16,
BGC0002864,Mollicellin Z ,21,22,6,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002872,Zaragozic acid A,35,46,14,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002874,cristazarin,13,12,6,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0002877,Cordypyrone A,22,28,3,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002883,biruloquinone,17,10,7,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0002891,arthripenoid C,30,44,9,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002911,naringenin,15,12,5,unreachable,coverage-limited-structural,sound-structural-gap,True,True,0,
BGC0002930,6'-O-demethyl-dihydroaustalide K,24,32,5,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002936,Gyrophoric acid,24,20,10,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002953,11'-O-desmethyl fendlerol,26,40,7,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
