bgc_id,name,carbons,C,H,O,base_status,formula_feasible,kappa_8000,class,soundness,budget_exhausted,n_programs_executed,n_pruned_overshoot,runtime_s
BGC0001141,4-epi-15-epi-brefeldin A,16,16,24,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,18076,166144,22.278
BGC0001143,azanigerone A,19,19,22,7,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,0,230912,20.052
BGC0001144,neosartoricin B,24,24,26,8,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,192000,26.189
BGC0001158,bikaverin,20,20,14,8,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0001219,shanorellin,9,9,10,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,20,3328,0.059
BGC0001242,oxyjavanicin,15,15,14,7,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0001243,botryenalol,17,17,26,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,21150,254976,44.096
BGC0001245,lasiodiplodin,17,17,24,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,14140,254976,30.742
BGC0001246,trans-resorcylide,16,16,18,5,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,80,166144,4.763
BGC0001247,cercosporin,29,29,26,10,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,256000,41.998
BGC0001252,UNII-YC2Q1O94PT,19,19,30,6,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,26107,230912,45.431
BGC0001257,"1,3,6,8-tetrahydroxynaphthalene",10,10,8,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,5,7920,0.077
BGC0001258,"1,3,6,8-tetrahydroxynaphthalene",10,10,8,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,5,7920,0.077
BGC0001259,elsinochrome A,30,30,24,10,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,192000,44.775
BGC0001264,betaenone A,21,21,34,5,too_large,True,0,coverage-limited-structural,HEURISTIC,False,22640,292352,52.304
BGC0001266,grayanic acid,23,23,26,7,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,212480,26.779
BGC0001269,gibberellin A3,19,19,22,6,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,55,230912,11.448
BGC0001270,gibberellin A7,19,19,22,5,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,680,230912,12.331
BGC0001271,emericellin,25,25,28,5,too_large,True,0,coverage-limited-structural,HEURISTIC,False,75,272384,26.302
BGC0001272,elsinochrome B,30,30,26,10,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,192000,44.161
